Name,Species,GRIN,Synonym,Breeding.Program,Parent1,Parent2,Pedigree,Description
GEN2-010,barley,,"07MN-53, 07-MN-53",MN,,,135I /Lacey Chev res. Chr6,
PUFFIN,barley,,"USRAMP359, B19366",UN,,,(Athos / Maris Otter) / Igri,
02AB431,barley,,,AB,,,93Ab428/93Ab835,
05ARS540-125,barley,,,AB,,,02Ab1604/AcMetcalfe,
04ARS635-89,barley,,,AB,,,Endeavor/Charles,
04ARS640-1,barley,,,AB,,,Endeavor/98Ab11993,
